D000074079,C17.300.849
D000074079,C20.111.904
D000074270,C06.405.469.531.788
D000074607,C25.775.643.500.800
D000074723,C04.697.850
D000074723,C23.550.727.850
D000074742,C06.198.929
D000074742,C14.240.850.922
D000074742,C14.907.137.527
D000074742,C16.131.240.850.898
D000074924,C20.543.480.370.572
D000074962,C14.280.647.375
D000074962,C14.907.585.375
D000074962,C20.543.560
D000075067,C25.775.814
D000075122,C04.834.794
D000075122,C15.378.147.542.820
D000075122,C15.378.147.780.838
D000075122,C20.683.460.820
D000075122,C20.683.780.838
D000075222,C14.907.489.165
D000075224,C14.280.123
D000075262,C19.053.500.263.500
D000075322,C25.723.522
D000075363,C04.557.595.250
D000075363,C18.452.845.500.550
D000075363,C20.683.515.507
D000075363,C20.683.780.565
D000075529,C12.050.351.875.846
D000075529,C12.200.706.846
D000075529,C12.800.846
D000075529,C23.300.925
D000075562,C10.597.606.762.300.500
D000075562,C23.888.592.604.764.300.500
D000075662,C23.550.340.500
D000075662,C25.100.781
D000075902,C23.550.291.656.350
D000076042,C10.597.606.525.400.500
D000076042,C10.720.112.100.250
D000076042,C23.888.592.604.529.400.500
D000076042,C25.723.705.150.100.250
D000076042,C25.775.100.087.193.100.250
D000076082,C23.888.914
D000076263,C01.221.625
D000076263,C23.550.291.531.875
D000076385,C06.405.205.282
D000076984,C10.668.829.100.750
D000076984,C16.614.131.294
D000076984,C26.141.294
